platformID,platform,entityID,entity,webLabel,heatmapLabel,tier1and2entity,tier1and2entityID,website,easeDiscover,methodDiscover,easeAccess,methodAccess,LinktoSource,fileFormat,metadata,metadataFormat,dataDefinitions,metaAttributes,metadataStandards,timeliness,lengthAvailable,group,count
p35,Non-Point Source Pollution Program,n38,On Site Water Protection,HHS-Water Protection,HHS-Water Protection: Non-Point Source Pollution Program,Department of Health and Human Services,5,https://ehs.ncpublichealth.com/oswp/nps/resources.htm,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,No,No,No,No,Unknown,Not Applicable,hub,5
p36,NC Onemap,n34,Geographic Information Coordinating Council,IT-GIS Data,IT-GIS Data: NC Onemap,Department of Information Technology,4,http://www.nconemap.com/,Medium,Map; Catalog,Yes,Web Services; Individual Export,Not Applicable,shapefile; raster; json; csv,Yes,xml,No,Administrative; Descriptive; Structural,Yes,Irregular,Current Only,hub,5
p37,Environmental Statistics,n29,Agricultural Statistics,DACS-Ag Statistics,DACS-Ag Statistics: Environmental Statistics,Department of Agriculture and Consumer Services,3,http://www.ncagr.gov/stats/environmental/index.htm,Low,Website,Yes,Individual Export; Copy and Paste,Not Applicable,pdf,No,No,No,No,No,Irregular,Period of Record,hub,5
p38,Weather and Crop Reports,n29,Agricultural Statistics,DACS-Ag Statistics,DACS-Ag Statistics: Weather and Crop Reports,Department of Agriculture and Consumer Services,3,http://www.ncagr.gov/stats/weather/weather.htm,Low,Website,Yes,Individual Export; Copy and Paste,Not Applicable,pdf,Yes,in data,No,Administrative,No,Weekly or higher,Limited Record,hub,5
p39,Water Quality,n32,North Carolina Forest Service,DACS-Forest Service,DACS-Forest Service: Water Quality,Department of Agriculture and Consumer Services,3,http://www.ncforestservice.gov/water_quality/water_quality.htm#,Low,Website,Yes,Individual Export; Copy and Paste,Not Applicable,pdf,No,No,No,No,No,Yearly or Higher,Not Applicable,hub,5
p40,Environmental Compliance,NA,Connect NCDOT,DOT-Env. Compliance,DOT-Env. Compliance: Environmental Compliance,Department of Transportation,6,https://connect.ncdot.gov/resources/Environmental/Pages/default.aspx,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,No,No,No,No,Irregular,Not Applicable,hub,5
p41,Floodplain Mapping and Management,n42,Risk Management,PS-Risk Management,PS-Risk Management: Floodplain Mapping and Management,Department of Public Safety,7,https://flood.nc.gov/ncflood/index.html,Medium,Map; Catalog,Yes,Link to Source; Individual Export,Not Applicable,pdf,Yes,html,No,Administrative,No,Unknown,Current Only,hub,5
p42,Flood Inundation Mapping and Alert Network,n42,Risk Management,PS-Risk Management,PS-Risk Management: Flood Inundation Mapping and Alert Network,Department of Public Safety,7,https://fiman.nc.gov/fiman/,High,Map,Yes,Individual Export; Batch Export,Not Applicable,excel; pdf,Yes,html,No,Descriptive,No,Daily or Higher,Current Only,hub,5
p43,Flood Risk Information System,n42,Risk Management,PS-Risk Management,PS-Risk Management: Flood Risk Information System,Department of Public Safety,7,https://fris.nc.gov/fris/?ST=NC,High,Map; Catalog,Yes,Individual Export; Batch Export,Not Applicable,zip; pdf; shapefile; geodatabase,Yes,html,No,Administrative,No,Unknown,Current Only,hub,5
p44,Spatial Data Download,n42,Risk Management,PS-Risk Management,PS-Risk Management: Spatial Data Download,Department of Public Safety,7,https://sdd.nc.gov/sdd/,High,Map,Registration Required,Batch Export,Not Applicable,geodatabase; shapefile,Yes,Broken Link,Unknown,Unknown,Unknown,Unknown,Unknown,hub,5
